,ReportDateTime,Country,Indicator,FullName,Period,Value
59,1999-02-01 04:00:00,Brazil,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,1.65
61,1999-02-01 04:00:00,Ireland,CPI (YoY),Irish CPI (YoY) (Jan),1999-01-01 00:00:00,1.44
62,1999-02-01 04:00:00,Belgium,CPI (YoY),Belgium CPI (YoY) (Jan),1999-01-01 00:00:00,0.95
64,1999-02-01 04:00:00,Japan,CPI (YoY),National CPI (YoY) (Jan),1999-01-01 00:00:00,0.2
67,1999-02-01 04:00:00,Singapore,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,-0.92
68,1999-02-01 04:00:00,China,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,-1.2
69,1999-02-01 04:00:00,Hong Kong,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,-1.1
70,1999-02-01 04:00:00,Taiwan,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,0.4
72,1999-02-01 04:00:00,Poland,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,6.9
73,1999-02-01 04:00:00,Russia,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,96.9
74,1999-02-01 04:00:00,Norway,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,2.3
75,1999-02-01 04:00:00,Turkiye,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,65.9
77,1999-02-01 04:00:00,Eurozone,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,0.8
78,1999-02-01 04:00:00,South Africa,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,8.84
79,1999-02-01 04:00:00,Denmark,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,1.7
80,1999-02-01 04:00:00,Portugal,CPI (YoY),Portuguese CPI (YoY) (Jan),1999-01-01 00:00:00,2.7
82,1999-02-01 04:00:00,Thailand,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,3.39
83,1999-02-01 04:00:00,Malaysia,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,5.2
84,1999-02-01 04:00:00,Philippines,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,10.7
85,1999-02-01 04:00:00,Greece,CPI (YoY),Greek CPI (YoY) (Jan),1999-01-01 00:00:00,3.7
86,1999-02-01 04:00:00,Czechia,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,3.5
87,1999-02-01 04:00:00,Egypt,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,3.84
89,1999-02-01 04:00:00,Hungary,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,9.8
90,1999-02-01 04:00:00,Colombia,CPI (YoY),CPI (YoY) (Jan),1999-01-01 00:00:00,17.18
91,1999-03-01 04:00:00,Denmark,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,2.0
92,1999-03-01 04:00:00,Portugal,CPI (YoY),Portuguese CPI (YoY) (Feb),1999-02-01 00:00:00,2.8
94,1999-03-01 04:00:00,Thailand,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,2.74
95,1999-03-01 04:00:00,Malaysia,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,3.8
96,1999-03-01 04:00:00,Philippines,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,9.3
97,1999-03-01 04:00:00,Greece,CPI (YoY),Greek CPI (YoY) (Feb),1999-02-01 00:00:00,3.7
98,1999-03-01 04:00:00,Czechia,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,2.9
99,1999-03-01 04:00:00,Egypt,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,3.74
101,1999-03-01 04:00:00,Hungary,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,9.4
102,1999-03-01 04:00:00,Colombia,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,15.38
103,1999-03-01 04:00:00,United Kingdom,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,1.4
105,1999-03-01 04:00:00,United States,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,1.6
107,1999-03-01 04:00:00,Canada,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,0.7
108,1999-03-01 04:00:00,Mexico,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,18.54
109,1999-03-01 04:00:00,Sweden,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,-0.1
110,1999-03-01 04:00:00,Italy,CPI (YoY),Italian CPI (YoY) (Feb),1999-02-01 00:00:00,1.3
111,1999-03-01 04:00:00,Korea,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,0.2
112,1999-03-01 04:00:00,Switzerland,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,0.3
113,1999-03-01 04:00:00,Germany,CPI (YoY),German CPI (YoY) (Feb),1999-02-01 00:00:00,0.1
114,1999-03-01 04:00:00,Netherlands,CPI (YoY),Dutch CPI (YoY) (Feb),1999-02-01 00:00:00,2.1
115,1999-03-01 04:00:00,Spain,CPI (YoY),Spanish CPI (YoY) (Feb),1999-02-01 00:00:00,1.8
116,1999-03-01 04:00:00,Brazil,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,2.24
118,1999-03-01 04:00:00,Ireland,CPI (YoY),Irish CPI (YoY) (Feb),1999-02-01 00:00:00,1.57
119,1999-03-01 04:00:00,Belgium,CPI (YoY),Belgium CPI (YoY) (Feb),1999-02-01 00:00:00,0.98
121,1999-03-01 04:00:00,Japan,CPI (YoY),National CPI (YoY) (Feb),1999-02-01 00:00:00,-0.1
124,1999-03-01 04:00:00,Singapore,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,-0.73
125,1999-03-01 04:00:00,China,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,-1.3
126,1999-03-01 04:00:00,Hong Kong,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,-1.7
127,1999-03-01 04:00:00,Taiwan,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,2.09
129,1999-03-01 04:00:00,Poland,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,5.6
130,1999-03-01 04:00:00,Russia,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,103.2
131,1999-03-01 04:00:00,Norway,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,2.1
132,1999-03-01 04:00:00,Turkiye,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,63.9
134,1999-03-01 04:00:00,Eurozone,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,0.8
135,1999-03-01 04:00:00,South Africa,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,8.58
136,1999-03-15 10:00:00,Israel,CPI (YoY),CPI (YoY) (Feb),1999-02-01 00:00:00,7.0
137,1999-04-01 04:00:00,United Kingdom,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,1.7
139,1999-04-01 04:00:00,United States,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,1.7
141,1999-04-01 04:00:00,Canada,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,1.0
