,ReportDateTime,Country,Indicator,FullName,Period,Value
58,1999-05-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Apr),1999-04-01 00:00:00,-1.9
59,1999-05-01 04:00:00,China,PPI (YoY),PPI (YoY) (Apr),1999-04-01 00:00:00,-3.9
60,1999-05-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Apr),1999-04-01 00:00:00,5.0
61,1999-05-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Apr),1999-04-01 00:00:00,50.05
62,1999-05-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Apr),1999-04-01 00:00:00,-1.5
63,1999-05-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Apr),1999-04-01 00:00:00,0.2
64,1999-05-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Apr),1999-04-01 00:00:00,-4.19
65,1999-06-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (May),1999-05-01 00:00:00,0.4
66,1999-06-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (May),1999-05-01 00:00:00,-3.99
68,1999-06-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (May),1999-05-01 00:00:00,-1.65
69,1999-06-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (May),1999-05-01 00:00:00,-1.5
70,1999-06-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (May),1999-05-01 00:00:00,-2.7
71,1999-06-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (May),1999-05-01 00:00:00,-2.3
72,1999-06-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (May),1999-05-01 00:00:00,-1.7
73,1999-06-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (May),1999-05-01 00:00:00,-1.7
74,1999-06-01 04:00:00,China,PPI (YoY),PPI (YoY) (May),1999-05-01 00:00:00,-3.4
75,1999-06-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (May),1999-05-01 00:00:00,5.2
76,1999-06-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (May),1999-05-01 00:00:00,49.96
77,1999-06-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (May),1999-05-01 00:00:00,-1.3
