,ReportDateTime,Country,Indicator,FullName,Period,Value
6116,2020-03-26 02:00:00,Denmark,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,5.6
6118,2020-03-26 02:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,0.0
6119,2020-03-27 03:30:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,2.8
6120,2020-03-27 06:00:00,Ireland,Retail Sales (YoY),Irish Retail Sales (YoY) (Feb),2020-02-01 00:00:00,-0.3
6121,2020-03-27 14:00:00,Argentina,Retail Sales (YoY),Retail Sales (YoY),2020-03-01 00:00:00,52.1
6122,2020-03-30 02:00:00,Spain,Retail Sales (YoY),Spanish Retail Sales (YoY) (Feb),2020-02-01 00:00:00,1.8
6123,2020-03-30 18:50:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,1.7
6124,2020-03-31 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,0.3
6125,2020-03-31 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,0.3
6126,2020-03-31 03:30:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,-44.0
6127,2020-03-31 04:00:00,Greece,Retail Sales (YoY),Greek Retail Sales (YoY) (Jan),2020-01-01 00:00:00,8.4
6128,2020-03-31 07:00:00,Chile,Retail Sales (YoY),Retail Sales (YoY),2020-03-01 00:00:00,4.5
6129,2020-04-01 01:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Feb),2020-02-01 00:00:00,6.4
6130,2020-04-03 00:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,-8.6
6131,2020-04-03 02:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,11.3
6132,2020-04-03 04:00:00,Eurozone,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,3.0
6133,2020-04-07 02:00:00,Czechia,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,7.4
