,United States,Japan,United Kingdom,Canada,Switzerland,Germany,Australia,Spain,Italy,Eurozone,China,India,Korea,Brazil,Turkiye,Russia,ACWI
1999-06-14,,,,,,,,,111.33,,,,,,,,
1999-06-15,,,,,,,,,109.74,,,,,,,,
1999-06-16,,,,,,,,,109.96,,,,,,,,
1999-06-17,,,,,,,,,111.48,,,,,,,,
1999-06-18,,,,,,,,,111.58,,,,,,,,
1999-06-21,,,,,,,,,112.43,,,,,,,,
1999-06-22,,,,,,,,,112.43,,,,,,,,
1999-06-23,,,,,,,,,112.53,,,,,,,,
1999-06-24,,,,,,,,,111.68,,,,,,,,
1999-06-25,,,,,,,,,111.23,,,,,,,,
1999-06-28,,,,,,,,,110.6,,,,,,,,
1999-06-29,,,,,,,,,110.47,,,,,,,,
1999-06-30,,,,,,,,,110.63,,,,,,,,
1999-07-01,,,,,,,,,110.35,,,,,,,,
1999-07-02,,,,,,,,,111.3,,,,,,,,
1999-07-05,,,,,,,,,111.08,,,,,,,,
1999-07-06,,,,,,,,,113.6,,,,,,,,
1999-07-07,,,,,,,,,113.66,,,,,,,,
1999-07-08,,,,,,,,,113.36,,,,,,,,
1999-07-09,,,,,,,,,113.32,,,,,,,,
1999-07-12,,,,,,,,,113.78,,,,,,,,
1999-07-13,,,,,,,,,114.12,,,,,,,,
1999-07-14,,,,,,,,,112.43,,,,,,,,
1999-07-15,,,,,,,,,113.01,,,,,,,,
1999-07-16,,,,,,,,,113.42,,,,,,,,
1999-07-19,,,,,,,,,113.09,,,,,,,,
1999-07-20,,,,,,,,,112.97,,,,,,,,
1999-07-21,,,,,,,,,110.64,,,,,,,,
1999-07-22,,,,,,,,,108.48,,,,,,,,
1999-07-23,,,,,,,,,107.83,,,,,,,,
1999-07-26,,,,,,,,,106.77,,,,,,,,
1999-07-27,,,,,,,,,104.83,,,,,,,,
1999-07-28,,,,,,,,,105.84,,,,,,,,
1999-07-29,,,,,,,,,105.66,,,,,,,,
1999-07-30,,,,,,,,,103.69,,,,,,,,
1999-08-02,,,,,,,,,105.53,,,,,,,,
1999-08-03,,,,,,,,,106.5,,,,,,,,
1999-08-04,,,,,,,,,105.98,,,,,,,,
1999-08-05,,,,,,,,,105.46,,,,,,,,
1999-08-06,,,,,,,,,103.54,,,,,,,,
1999-08-09,,,,,,,,,103.0,,,,,,,,
1999-08-10,,,,,,,,,104.76,,,,,,,,
1999-08-11,,,,,,,,,103.2,,,,,,,,
1999-08-12,,,,,,,,,103.9,,,,,,,,
1999-08-13,,,,,,,,,105.8,,,,,,,,
1999-08-16,,,,,,,,,107.22,,,,,,,,
1999-08-17,,,,,,,,,107.72,,,,,,,,
1999-08-18,,,,,,,,,108.53,,,,,,,,
1999-08-19,,,,,,,,,107.57,,,,,,,,
1999-08-20,,,,,,,,,106.83,,,,,,,,
1999-08-23,,,,,,,,,107.73,,,,,,,,
1999-08-24,,,,,,,,,109.15,,,,,,,,
1999-08-25,,,,,,,,,109.33,,,,,,,,
1999-08-26,,,,,,,,,110.42,,,,,,,,
1999-08-27,,,,,,,,,110.53,,,,,,,,
1999-08-30,,,,,,,,,110.73,,,,,,,,
1999-08-31,,,,,,,,,110.17,,,,,,,,
1999-09-01,,,,,,,,,108.08,,,,,,,,
1999-09-02,,,,,,,,,108.26,,,,,,,,
1999-09-03,,,,,,,,,106.52,,,,,,,,
1999-09-06,,,,,,,,,109.07,,,,,,,,
1999-09-07,,,,,,,,,109.84,,,,,,,,
1999-09-08,,,,,,,,,109.23,,,,,,,,
1999-09-09,,,,,,,,,109.96,,,,,,,,
1999-09-10,,,,,,,,,110.26,,,,,,,,
1999-09-13,,,,,,,,,111.49,,,,,,,,
1999-09-14,,,,,,,,,110.9,,,,,,,,
1999-09-15,,,,,,,,,110.79,,,,,,,,
1999-09-16,,,,,,,,,110.63,,,,,,,,
1999-09-17,,,,,,,,,110.65,,,,,,,,
1999-09-20,,,,,,,,,111.42,,,,,,,,
1999-09-21,,,,,,,,,111.91,,,,,,,,
1999-09-22,,,,,,,,,111.36,,,,,,,,
1999-09-23,,,,,,,,,111.95,,,,,,,,
1999-09-24,,,,,,,,,112.47,,,,,,,,
1999-09-27,,,,,,,,,112.06,,,,,,,,
1999-09-28,,,,,,,,,112.72,,,,,,,,
1999-09-29,,,,,,,,,112.47,,,,,,,,
1999-09-30,,,,,,,,,110.68,,,,,,,,
1999-10-01,,,,,,,,,110.06,,,,,,,,
1999-10-04,,,,,,,,,110.33,,,,,,,,
1999-10-05,,,,,,,,,111.12,,,,,,,,
1999-10-06,,,,,,,,,110.86,,,,,,,,
1999-10-07,,,,,,,,,110.97,,,,,,,,
1999-10-08,,,,,,,,,111.17,,,,,,,,
1999-10-11,,,,,,,,,110.57,,,,,,,,
1999-10-12,,,,,,,,,110.48,,,,,,,,
1999-10-13,,,,,,,,,108.75,,,,,,,,
1999-10-14,,,,,,,,,108.11,,,,,,,,
1999-10-15,,,,,,,,,107.23,,,,,,,,
1999-10-18,,,,,,,,,105.32,,,,,,,,
1999-10-19,,,,,,,,,103.67,,,,,,,,
1999-10-20,,,,,,,,,105.53,,,,,,,,
1999-10-21,,,,,,,,,105.39,,,,,,,,
1999-10-22,,,,,,,,,105.25,,,,,,,,
1999-10-25,,,,,,,,,106.8,,,,,,,,
1999-10-26,,,,,,,,,105.29,,,,,,,,
1999-10-27,,,,,,,,,105.38,,,,,,,,
1999-10-28,,,,,,,,,105.19,,,,,,,,
1999-10-29,,,,,,,,,105.19,,,,,,,,
1999-11-01,,,,,,,,,107.36,,,,,,,,
1999-11-02,,,,,,,,,108.14,,,,,,,,
1999-11-03,,,,,,,,,107.96,,,,,,,,
1999-11-04,,,,,,,,,107.84,,,,,,,,
1999-11-05,,,,,,,,,108.78,,,,,,,,
1999-11-08,,,,,,,,,108.35,,,,,,,,
1999-11-09,,,,,,,,,108.33,,,,,,,,
1999-11-10,,,,,,,,,109.63,,,,,,,,
1999-11-11,,,,,,,,,110.3,,,,,,,,
1999-11-12,,,,,,,,,111.43,,,,,,,,
1999-11-15,,,,,,,,,110.59,,,,,,,,
1999-11-16,,,,,,,,,111.11,,,,,,,,
1999-11-17,,,,,,,,,111.67,,,,,,,,
1999-11-18,,,,,,,,,111.19,,,,,,,,
1999-11-19,,,,,,,,,112.77,,,,,,,,
1999-11-22,,,,,,,,,113.07,,,,,,,,
1999-11-23,,,,,,,,,112.6,,,,,,,,
1999-11-24,,,,,,,,,112.69,,,,,,,,
1999-11-25,,,,,,,,,113.93,,,,,,,,
1999-11-26,,,,,,,,,116.35,,,,,,,,
1999-11-29,,,,,,,,,116.33,,,,,,,,
1999-11-30,,,,,,,,,117.98,,,,,,,,
1999-12-01,,,,,,,,,117.7,,,,,,,,
1999-12-02,,,,,,,,,118.81,,,,,,,,
1999-12-03,,,,,,,,,119.0,,,,,,,,
1999-12-06,,,,,,,,,121.15,,,,,,,,
1999-12-07,,,,,,,,,122.14,,,,,,,,
1999-12-08,,,,,,,,,122.65,,,,,,,,
1999-12-09,,,,,,,,,123.93,,,,,,,,
1999-12-10,,,,,,,,,123.95,,,,,,,,
1999-12-13,,,,,,,,,123.32,,,,,,,,
1999-12-14,,,,,,,,,125.16,,,,,,,,
1999-12-15,,,,,,,,,126.39,,,,,,,,
1999-12-16,,,,,,,,,124.9,,,,,,,,
1999-12-17,,,,,,,,,126.52,,,,,,,,
1999-12-20,,,,,,,,,127.72,,,,,,,,
1999-12-21,,,,,,,,,130.74,,,,,,,,
1999-12-22,,,,,,,,,128.49,,,,,,,,
1999-12-23,,,,,,,,,130.87,,,,,,,,
1999-12-24,,,,,,,,,134.24,,,,,,,,
1999-12-27,,,,,,,,,134.08,,,,,,,,
1999-12-28,,,,,,,,,137.9,,,,,,,,
1999-12-29,,,,,,,,,139.51,,,,,,,,
1999-12-30,,,,,,,,,139.51,,,,,,,,
1999-12-31,,,,,,,,,139.69,,,,,,,,
2000-01-03,,,,,,,,,140.24,,,,,,,,
2000-01-04,,,,,,,,,135.69,,,,,,,,
2000-01-05,,,,,,,,,132.29,,,,,,,,
2000-01-06,,,,,,,,,128.78,,,,,,,,
2000-01-07,,,,,,,,,126.28,,,,,,,,
2000-01-10,,,,,,,,,130.91,,,,,,,,
2000-01-11,,,,,,,,,130.1,,,,,,,,
2000-01-12,,,,,,,,,131.03,,,,,,,,
2000-01-13,,,,,,,,,132.4,,,,,,,,
2000-01-14,,,,,,,,,133.23,,,,,,,,
2000-01-17,,,,,,,,,136.57,,,,,,,,
2000-01-18,,,,,,,,,136.28,,,,,,,,
2000-01-19,,,,,,,,,134.73,,,,,,,,
2000-01-20,,,,,,,,,135.47,,,,,,,,
2000-01-21,,,,,,,,,136.24,,,,,,,,
2000-01-24,,,,,,,,,136.54,,,,,,,,
2000-01-25,,,,,,,,,137.24,,,,,,,,
