"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2012","2,265.75","2,260.36","2,274.91","2,252.88","25.81M","0.21%"
"01/20/2012","2,261.02","2,243.23","2,261.02","2,232.64","41.97M","0.74%"
"01/19/2012","2,244.38","2,239.67","2,244.38","2,200.99","35.77M","0.73%"
"01/18/2012","2,228.09","2,225.97","2,235.94","2,204.98","29.85M","0.92%"
"01/17/2012","2,207.87","2,209.14","2,236.08","2,207.21","38.58M","1.14%"
"01/16/2012","2,182.94","2,153.32","2,185.09","2,150.77","17.44M","0.76%"
"01/13/2012","2,166.38","2,182.11","2,192.63","2,147.67","16.14M","-0.03%"
"01/12/2012","2,166.99","2,133.78","2,183.29","2,130.67","25.22M","1.69%"
"01/11/2012","2,131.00","2,151.91","2,155.59","2,119.32","25.18M","-0.33%"
"01/10/2012","2,138.06","2,140.68","2,164.57","2,134.01","26.79M","0.53%"
"01/09/2012","2,126.71","2,164.20","2,164.20","2,126.71","22.78M","-1.42%"
"01/05/2012","2,157.43","2,181.38","2,181.38","2,133.77","29.41M","-1.22%"
"01/04/2012","2,183.98","2,197.87","2,200.78","2,160.82","35.21M","-0.92%"
"01/03/2012","2,204.27","2,203.07","2,207.93","2,184.10","35.64M","0.46%"
"01/02/2012","2,194.11","2,150.60","2,199.00","2,143.87","9.74M","2.31%"
"12/30/2011","2,144.48","2,163.27","2,164.53","2,137.46","9.78M","-0.84%"
"12/29/2011","2,162.62","2,152.00","2,162.62","2,128.15","12.13M","0.68%"
"12/28/2011","2,148.03","2,156.30","2,165.91","2,144.85","14.94M","-1.17%"
"12/27/2011","2,173.35","2,169.08","2,178.34","2,162.23","7.85M","0.21%"
"12/23/2011","2,168.83","2,154.72","2,168.83","2,151.00","7.22M","0.95%"
"12/22/2011","2,148.41","2,147.61","2,158.31","2,138.96","10.15M","-0.37%"
"12/21/2011","2,156.43","2,155.12","2,167.44","2,127.99","19.16M","0.91%"
"12/20/2011","2,136.95","2,099.14","2,151.49","2,094.53","16.45M","1.46%"
