Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Argentina,ARG,-4.21229506178187,-3.15992237703676,-1.40694788500181,8.97078467784247,6.37990680177011,1.95058324319273,2.65363142179073,2.79449564264943,2.1036160391819,1.49940141614234,2.1785669619099,-0.383118699737132,-1.00728073759033,-0.39159512386959,-2.37749566620574,-1.74400211981355,-2.96292666513535,-2.70922169964784,-4.83995919619862,-5.16055251029552,-0.779998442161832,0.697297081706135,1.36373847904907,-0.677990131683463
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Australia,AUS,-5.59740342730537,-3.72429027623484,-2.10538388216154,-4.04533012402292,-6.26906085398024,-6.72068682864578,-6.23365908438409,-6.0593853079141,-7.50947574689242,-4.9372314815571,-5.26565153213096,-3.89303778662538,-3.17715758850717,-4.16838281113441,-3.255319652515,-3.09356686660216,-4.21735088708879,-3.41348868386436,-2.68188645580846,-2.21331098520115,0.443751171870826,2.45053113783241,3.27157043467676,1.16677254706148
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Austria,AUT,..,..,..,..,..,..,1.97187532050569,3.26926407858591,3.78972273088018,4.46683623183009,2.56465482326639,2.92458810976223,1.57498466679978,1.50022125840226,1.94778279886917,2.3927545821788,1.73679892329251,2.72121430646143,1.35425515622106,0.96250031620649,2.39207407212989,2.96322745235166,0.338674057939006,0.674149515342121
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Belgium,BEL,..,..,..,4.49803373016796,3.39723910068487,3.09695508992497,1.99655304871952,1.85028932301471,1.49569237465597,-0.831236474764241,1.81630166402495,1.52422295376225,-1.94312776528363,-0.0833647507311088,0.973367522908959,0.75486363361911,1.37632572493282,0.555977165115906,0.699770950800737,-0.873036413661157,0.0946645704089756,1.08565394019651,0.49080294502723,-3.50006900450946
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,-4.46660492612218,-4.04774157204052,-4.44478598192498,-1.84525902800178,0.39287719883254,1.33863085370769,1.30988468516067,0.972710373740381,-0.197096994813755,-2.09933746619215,-1.75935802577746,-3.92594539848286,-3.19461785159279,-3.75941536802493,-3.5742210467144,-4.49883030899533,-3.51839207262248,-1.70014418114534,-1.22787633948636,-2.85841617595429,-3.63113802631428,-1.91094187019745,-2.81020513094685,-2.96846723274502
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Canada,CAN,0.124607703811068,2.48322832733606,2.13242480189661,1.64503032397307,1.16498813828327,2.26315076447856,1.86965618692434,1.36365624553912,0.752359497275174,0.204634001322009,-2.96628242314574,-3.59618567149688,-2.77400602599856,-3.53224767688726,-3.14687545091254,-2.31892137730875,-3.51398716666024,-3.093111446907,-2.8034274767599,-2.38511481724633,-1.95170274818579,-2.14695980005145,-0.27220599439051,-0.31097369405507
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Chile,CHL,0.131405437058336,-1.14700034952076,-1.53826894255788,-0.825199468328001,-0.290419263046469,2.84739040725261,1.49174322427829,4.5529264424736,4.30154750471149,-3.72837458535564,1.87851795997011,1.41350156469353,-2.72006461993477,-5.3254779235439,-4.77874502435541,-3.46237797205589,-2.73454600956932,-2.62114373680705,-2.75569749936124,-4.49058036102366,-5.20855206570591,-1.94899737665158,-7.32314289297458,-9.00317287599506
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1.9300546324131,1.69386991427793,1.29916298685336,2.40874609736141,2.5930305144581,3.52576639617769,5.79093342808495,8.42416623830982,9.94788988644193,9.15406370401769,4.7681555750209,3.90673401648824,1.80223723460501,2.5244615760811,1.54855446953939,2.2532935529667,2.64901123694042,1.70329998452501,1.53264498883561,0.173667289327805,0.720658985424908,1.69417203514534,1.98022816277244,2.23710736450684
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Colombia,COL,0.777689613904397,0.846461525662989,-1.0593767406628,-1.31623163833537,-0.96359862609051,-0.661483096041819,-1.33773108955825,-1.8486662318406,-2.98192666963852,-2.67924104556952,-1.90692598838974,-2.99583091222973,-2.90611447138044,-3.14008013054381,-3.23615067105022,-5.19843119341792,-6.37230442153408,-4.45195067751591,-3.18224191136608,-4.201383446849,-4.58457692297627,-3.43023392932063,-5.63586401627055,-6.17910022813743
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Czechia,CZE,-2.24901467913644,-4.35070087214669,-4.82618558892486,-5.18860410860461,-5.78025583580088,-3.72008813249091,-2.04873491487123,-2.5572614033307,-4.70366256243025,-1.86133326423192,-2.34761965959984,-3.51614605612017,-2.18679184024051,-1.5122722999931,-0.522421128533657,0.21862935518319,0.449525739590104,1.76416275349514,1.3541969507893,0.505899330888471,0.355605202541843,2.01941863408581,-2.72770653173786,-5.96917419620097
