,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-18,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.55,3.0,3.0,6.39,9.0,,29.0,,18.971,34.63,,,7.0,,13.0,15.5,7.8,,,17.0,8.75,26.0,9.63,60.0
1999-01-19,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.0,3.0,3.0,6.39,9.0,,25.0,,18.968,36.07,,,7.0,,12.875,15.5,7.8,,,17.0,8.75,26.0,8.35,60.0
1999-01-20,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.6,3.0,3.0,6.39,9.0,,25.0,,18.959,35.91,,,7.0,,12.875,15.5,7.8,,,17.0,8.75,26.0,7.82,60.0
1999-01-21,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.05,3.0,3.0,6.39,9.0,,25.0,,18.95,35.35,,,7.0,,12.875,13.0,7.8,,,17.0,8.75,26.0,7.04,60.0
1999-01-22,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.0,3.0,3.0,6.39,9.0,,25.0,,18.95,35.75,,,7.0,,12.875,13.0,7.8,,,17.0,8.75,26.0,6.82,60.0
1999-01-25,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.0,3.0,3.0,6.39,9.0,,25.0,,18.94,35.26,,,7.0,,12.875,13.0,7.8,,,17.0,8.75,26.0,6.67,60.0
1999-01-26,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.0,3.0,3.0,6.39,9.0,,25.0,,18.921,34.89,,,7.0,,12.875,13.0,7.8,,,17.0,8.75,26.0,7.25,60.0
1999-01-27,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.1,3.0,3.0,6.39,9.0,,25.0,,18.896,34.07,,,7.0,,12.875,13.0,7.25,,,17.0,8.75,26.0,7.49,60.0
1999-01-28,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,3.1,3.0,3.0,6.39,9.0,,25.0,,18.873,34.07,,,7.0,,12.875,13.0,7.25,,,17.0,8.75,26.0,7.61,60.0
1999-01-29,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,2.75,3.0,3.0,6.39,9.0,,25.0,,18.826,35.85,,,7.0,,12.875,13.0,7.25,,,17.0,8.0,26.0,7.59,60.0
1999-02-01,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,2.8,3.0,3.0,6.39,9.0,,25.0,,18.734,34.12,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,26.0,8.2,60.0
1999-02-02,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,3.0,3.0,3.0,6.39,9.0,,25.0,,18.65,33.65,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,26.0,8.55,60.0
1999-02-03,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,3.05,3.0,3.0,6.39,9.0,,25.0,,18.58,33.74,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,26.0,8.31,60.0
1999-02-04,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,2.9,3.0,3.0,6.39,9.0,,25.0,,18.525,34.65,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,26.0,7.52,60.0
1999-02-05,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,2.9,3.0,3.0,6.39,9.0,,25.0,,18.277,34.65,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,26.0,6.62,60.0
1999-02-08,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,3.0,3.0,3.0,6.39,9.0,,25.0,,17.992,33.06,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.37,60.0
1999-02-09,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,2.0,3.0,3.0,6.39,9.0,,25.0,,17.854,33.32,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.45,60.0
1999-02-10,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,2.8,3.0,3.0,6.39,9.0,,25.0,,17.803,32.09,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.45,60.0
1999-02-11,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,2.9,3.0,3.0,6.39,9.0,,25.0,,17.748,29.59,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.28,60.0
1999-02-12,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,2.9,3.0,3.0,6.39,9.0,,25.0,,17.664,29.11,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.26,60.0
1999-02-15,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,3.0,3.0,3.0,6.39,9.0,,25.0,,17.613,28.58,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.51,60.0
1999-02-16,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.4,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,3.0,3.0,3.0,6.39,9.0,,25.0,,17.594,27.82,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.39,60.0
1999-02-17,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.15,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,4.05,3.0,3.0,6.39,9.0,,25.0,,17.56,28.79,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.13,60.0
1999-02-18,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.15,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,4.0,3.0,3.0,6.39,9.0,,25.0,,17.516,28.2,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,5.99,60.0
1999-02-19,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.15,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,3.1,3.0,3.0,6.39,9.0,,25.0,,17.514,27.99,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,5.81,60.0
1999-02-22,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.15,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,4.0,3.0,3.0,6.39,9.0,,25.0,,17.509,27.85,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,5.62,60.0
1999-02-23,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.15,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,4.15,3.0,3.0,6.39,9.0,,25.0,,17.471,28.09,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,5.45,60.0
1999-02-24,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.15,3.0,6.25,3.0,3.0,3.0,7.5,13.5,3.0,4.05,3.0,3.0,6.39,9.0,,25.0,,17.442,27.8,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,5.5,60.0
1999-02-25,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.15,3.0,6.25,3.0,3.0,3.0,7.5,13.0,3.0,4.05,3.0,3.0,6.39,9.0,,25.0,,17.417,28.0,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,5.63,60.0
1999-02-26,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.5,3.15,3.0,6.25,3.0,3.0,3.0,7.5,13.0,3.0,4.3,3.0,3.0,6.39,9.0,,25.0,,17.36,28.46,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,5.62,60.0
1999-03-01,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.5,13.0,3.0,2.45,3.0,3.0,6.39,9.0,,25.0,,17.304,27.77,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.72,60.0
1999-03-02,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.5,13.0,3.0,3.8,3.0,3.0,6.39,8.0,,25.0,,17.185,28.69,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,7.05,60.0
1999-03-03,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,3.75,3.0,3.0,6.39,8.0,,25.0,,17.117,28.28,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.67,60.0
1999-03-04,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,3.75,3.0,3.0,6.39,8.0,,25.0,,17.065,27.76,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.33,60.0
1999-03-05,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,3.75,3.0,3.0,6.39,8.0,,45.0,,17.013,27.68,,,7.0,,12.5,13.0,7.25,,,16.0,8.0,24.0,6.15,60.0
1999-03-08,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,3.75,3.0,3.0,6.39,8.0,,45.0,,16.986,27.3,,,7.0,,12.25,13.0,7.25,,,16.0,8.0,23.0,6.09,60.0
1999-03-09,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,3.75,3.0,3.0,6.39,8.0,,45.0,,16.955,26.56,,,7.0,,12.25,13.0,7.25,,,16.0,8.0,23.0,6.06,60.0
1999-03-10,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,3.75,3.0,3.0,6.39,8.0,,45.0,,16.924,25.81,,,7.0,,12.25,13.0,7.0,,,16.0,8.0,23.0,5.88,60.0
1999-03-11,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,3.75,3.0,3.0,6.39,8.0,,45.0,,16.896,25.26,,,7.0,,12.25,13.0,7.0,,,16.0,8.0,23.0,5.81,60.0
1999-03-12,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,3.75,3.0,3.0,6.39,8.0,,45.0,,16.868,25.06,,,7.0,,12.25,13.0,7.0,,,16.0,7.5,23.0,5.81,60.0
1999-03-15,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,3.75,3.0,3.0,6.39,8.0,,45.0,,16.835,25.04,,,7.0,,12.125,13.0,7.0,,,16.0,7.5,23.0,5.93,60.0
1999-03-16,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.1,3.0,3.0,6.39,8.0,,45.0,,16.818,26.2,,,7.0,,12.125,13.0,7.0,,,16.0,7.5,23.0,5.97,60.0
1999-03-17,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,45.0,,16.795,27.31,,,7.0,,12.125,13.0,7.0,,,16.0,7.5,23.0,6.14,60.0
1999-03-18,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,45.0,,16.773,25.32,,,7.0,,12.125,13.0,7.0,,,16.0,7.5,23.0,6.35,60.0
1999-03-19,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,45.0,,16.752,26.57,,,7.0,,12.125,13.0,7.0,,,16.0,7.5,23.0,6.62,60.0
1999-03-22,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,45.0,,16.752,25.82,,,7.0,,12.0,13.0,7.0,,,16.0,7.5,23.0,6.44,60.0
1999-03-23,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,45.0,,16.724,24.94,,,7.0,,12.0,13.0,7.0,,,16.0,7.5,20.0,5.93,60.0
1999-03-24,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,45.0,,16.693,25.0,,,7.0,,12.0,13.0,7.0,,,16.0,7.5,20.0,5.72,60.0
1999-03-25,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,42.0,,16.665,24.59,,,7.0,,12.0,13.0,7.0,,,16.0,7.5,20.0,5.88,60.0
1999-03-26,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,42.0,,16.627,24.08,,,7.0,,12.0,13.0,7.0,,,16.0,7.5,20.0,6.14,60.0
1999-03-29,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,42.0,,16.593,23.47,,,7.0,,11.875,13.0,7.0,,,16.0,7.5,20.0,6.19,60.0
1999-03-30,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.4,3.15,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,42.0,,16.551,23.37,,,7.0,,11.875,13.0,7.0,,,16.0,7.5,20.0,5.81,60.0
1999-03-31,4.75,0.25,5.5,4.75,3.0,1.0,3.0,4.75,3.0,3.4,2.9,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,42.0,,16.505,22.96,,,7.0,,11.875,13.0,7.0,,,16.0,7.5,20.0,6.28,60.0
1999-04-01,4.75,0.25,5.5,4.75,3.0,1.0,3.0,4.75,3.0,3.4,2.9,3.0,6.25,3.0,3.0,3.0,7.0,13.0,3.0,4.5,3.0,3.0,6.39,8.0,,42.0,,16.456,22.96,,,7.0,,11.875,13.0,7.0,,,16.0,7.5,20.0,6.28,60.0
1999-04-02,4.75,0.25,5.5,4.75,3.0,1.0,3.0,4.75,3.0,3.4,2.9,3.0,6.25,3.0,3.0,3.0,7.0,12.5,3.0,4.5,3.0,3.0,6.39,8.0,,42.0,,16.456,22.96,,,7.0,,11.875,13.0,7.0,,,16.0,7.5,20.0,6.28,60.0
1999-04-05,4.75,0.25,5.5,4.75,3.0,1.0,3.0,4.75,3.0,3.4,2.9,3.0,6.25,3.0,3.0,3.0,7.0,12.5,3.0,4.5,3.0,3.0,6.39,8.0,,42.0,,16.456,22.47,,,6.5,,11.75,13.0,7.0,,,16.0,7.5,20.0,6.21,60.0
1999-04-06,4.75,0.25,5.5,4.75,3.0,1.0,3.0,4.75,3.0,3.4,2.9,3.0,6.25,3.0,3.0,3.0,7.0,12.5,3.0,4.5,3.0,3.0,6.39,8.0,,39.5,,16.394,22.11,,,6.5,,11.75,13.0,7.0,,,16.0,7.5,20.0,6.11,60.0
1999-04-07,4.75,0.25,5.5,4.75,3.0,1.0,3.0,4.75,3.0,3.4,2.9,3.0,6.25,3.0,3.0,3.0,7.0,12.5,3.0,4.5,3.0,3.0,6.39,8.0,,39.5,,16.302,21.83,,,6.5,,11.75,13.0,6.5,,,16.0,7.5,20.0,5.97,60.0
1999-04-08,4.75,0.25,5.25,4.75,3.0,1.0,3.0,4.75,3.0,3.4,2.9,3.0,6.25,3.0,3.0,3.0,7.0,12.5,3.0,4.5,3.0,3.0,6.39,8.0,,39.5,,16.191,21.35,,,6.5,,11.375,13.0,6.5,,,16.0,7.5,20.0,5.64,60.0
1999-04-09,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,7.0,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,39.5,,16.094,22.23,,,6.5,,11.375,13.0,6.5,,,16.0,7.2,20.0,5.21,60.0
1999-04-12,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,7.0,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,39.5,,16.015,22.94,,,6.5,,11.375,13.0,6.5,,,16.0,7.2,20.0,5.07,60.0
1999-04-13,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,7.0,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,39.5,,15.997,21.74,,,6.5,,11.375,13.0,6.5,,,16.0,7.2,20.0,4.95,60.0
1999-04-14,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,7.0,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,39.5,,15.974,22.2,,,6.5,,11.375,13.0,6.5,,,16.0,7.2,20.0,4.96,60.0
1999-04-15,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,7.0,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,34.0,,15.949,21.16,,,6.5,,11.375,13.0,6.5,,,16.0,7.2,20.0,4.94,60.0
1999-04-16,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,7.0,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,34.0,,15.911,20.4,,,6.5,,11.375,13.0,6.5,,,16.0,7.2,20.0,5.02,60.0
1999-04-19,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,7.0,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,34.0,,15.883,20.06,,,6.5,,10.875,13.0,6.5,,,16.0,7.2,19.0,4.98,60.0
1999-04-20,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,7.0,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,34.0,,15.856,20.19,,,6.5,,10.875,13.0,6.5,,,16.0,7.2,19.0,4.99,60.0
1999-04-21,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,7.0,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,34.0,,15.825,20.49,,,6.5,,10.875,13.0,6.5,,,16.0,7.2,19.0,4.94,60.0
1999-04-22,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,7.0,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,34.0,,15.792,20.29,,,6.5,,10.875,13.0,6.5,,,16.0,7.2,19.0,4.9,60.0
1999-04-23,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,7.0,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,34.0,,15.767,20.72,,,6.5,,10.875,13.0,6.5,,,16.0,7.2,19.0,4.85,60.0
1999-04-26,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,6.5,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,34.0,,15.744,20.42,,,6.5,,10.375,13.0,6.5,,,16.0,7.2,19.0,4.88,60.0
1999-04-27,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,6.5,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,34.0,,15.744,20.57,,,6.5,,10.375,13.0,6.5,,,16.0,7.2,19.0,4.96,60.0
1999-04-28,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,6.5,12.5,2.5,4.5,2.5,2.5,6.39,8.0,,34.0,,15.718,20.56,,,6.5,,10.375,13.0,6.5,,,16.0,7.2,19.0,5.19,60.0
1999-04-29,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,6.5,12.0,2.5,4.5,2.5,2.5,6.39,8.0,,32.0,,15.691,20.1,,,6.5,,10.375,13.0,6.5,,,16.0,7.2,19.0,5.07,60.0
1999-04-30,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,6.5,12.0,2.5,4.5,2.5,2.5,6.39,8.0,,32.0,,15.665,20.24,,,6.5,,10.375,13.0,6.5,,,16.0,7.2,19.0,5.03,60.0
1999-05-03,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,2.9,2.5,6.25,2.5,2.5,2.5,6.5,12.0,2.5,4.5,2.5,2.5,6.39,8.0,,32.0,,15.631,20.25,,,6.0,,10.25,13.0,6.5,,,16.0,7.2,19.0,5.23,60.0
