,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozona,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
2011-08-01,102.30607604980469,35.12959289550781,21.954984664916992,23.85354232788086,17.833833694458008,20.036714553833008,18.77092742919922,14.423962593078613,15.822592735290527,,19.510746002197266,23.24452781677246,13.202601432800293,21.10462760925293,17.7642879486084,,9.20611572265625,13.099185943603516,41.92626953125,17.107208251953125,21.507442474365234,15.007329940795898,,24.959228515625,39.50080490112305,19.4163875579834,,54.99738311767578,43.46240997314453,,43.94438934326172,48.229915618896484,52.7944450378418,28.28424072265625,28.495647430419922,,,,40.39107131958008,23.554344177246094,25.538814544677734,51.71501541137695,,31.60868263244629,,,43.162925720214844,55.253173828125,25.081064224243164,58.619998931884766
2011-08-02,99.69243621826172,34.831607818603516,21.407047271728516,23.268747329711914,17.168500900268555,19.752883911132812,17.96688461303711,13.989642143249512,15.245356559753418,,18.477548599243164,22.329341888427734,12.986166954040527,20.286508560180664,17.40727424621582,,8.88284683227539,12.57630443572998,40.469093322753906,16.881120681762695,21.28662872314453,14.25804328918457,,24.11629295349121,39.23460006713867,18.995403289794922,,53.18612289428711,42.23481369018555,,42.48993682861328,46.49565124511719,51.657901763916016,27.916810989379883,28.21351432800293,,,,39.175254821777344,23.18770408630371,24.698820114135742,50.294673919677734,,30.74369239807129,,,41.39933395385742,54.69017791748047,25.25548553466797,56.900001525878906
2011-08-03,100.23265075683594,34.897830963134766,21.469316482543945,23.38416290283203,17.320371627807617,19.821922302246094,18.117177963256836,13.835344314575195,15.348150253295898,,18.477548599243164,22.75601577758789,12.944278717041016,20.480640411376953,17.370344161987305,,8.925015449523926,12.50839900970459,40.736236572265625,16.621540069580078,21.147825241088867,14.322883605957031,,24.335594177246094,38.50056838989258,18.918859481811523,,52.38482666015625,41.51559829711914,,43.10527801513672,46.1032829284668,51.83388900756836,28.039289474487305,28.307559967041016,,,,40.00520706176758,23.20559310913086,24.2567195892334,49.60999298095703,,30.355182647705078,,,41.54879379272461,54.985084533691406,24.95897674560547,56.2400016784668
2011-08-04,95.53760528564453,32.77878952026367,19.962478637695312,22.260738372802734,15.910152435302734,18.709627151489258,16.65938377380371,12.85813045501709,14.3755521774292,,16.67778778076172,20.950376510620117,12.448569297790527,18.76120948791504,16.60708236694336,,8.362804412841797,11.442265510559082,38.939048767089844,15.66695499420166,20.12576675415039,13.263800621032715,,22.382448196411133,37.419677734375,18.00033950805664,,48.92087936401367,38.731773376464844,,39.28889083862305,43.67060470581055,49.85408401489258,26.610376358032227,27.404726028442383,,,,36.74363708496094,22.38288688659668,22.458831787109375,46.91498565673828,,28.69117546081543,,,40.98086166381836,52.733131408691406,23.511320114135742,52.720001220703125
2011-08-05,95.39461517333984,33.0767822265625,20.161725997924805,21.876007080078125,16.503164291381836,18.886058807373047,17.01255989074707,12.732403755187988,14.936969757080078,,17.491010665893555,22.316974639892578,12.078531265258789,19.801183700561523,16.42242431640625,,8.59471607208252,11.802166938781738,38.53428268432617,15.65857982635498,20.068988800048828,13.616828918457031,,23.30762481689453,36.2984619140625,17.451786041259766,,48.720558166503906,38.954986572265625,,40.30825424194336,44.376853942871094,49.37015151977539,25.671377182006836,27.385921478271484,,,,35.31669998168945,22.38288688659668,22.65041160583496,45.931671142578125,,28.55190658569336,,,40.47271728515625,51.875244140625,22.988073348999023,52.63999938964844
2011-08-08,89.18216705322266,31.48751449584961,18.59263038635254,20.683324813842773,14.955544471740723,17.72772979736328,15.276739120483398,11.709463119506836,13.679704666137695,,15.964548110961914,20.511333465576172,11.478096008300781,18.040157318115234,15.14211654663086,,7.962234973907471,10.817523956298828,35.182769775390625,14.394171714782715,18.504344940185547,12.16869068145752,,21.333913803100586,33.805973052978516,16.34191131591797,,44.2382926940918,35.340335845947266,,36.92696762084961,40.64151382446289,46.73773956298828,24.013843536376953,25.674299240112305,,,,31.574634552001953,21.166715621948242,20.889366149902344,41.80175018310547,,26.638671875,,,36.9156608581543,49.03350067138672,20.92995834350586,46.31999969482422
2011-08-09,93.32910919189453,33.10988998413086,19.912662506103516,21.83753204345703,15.982471466064453,19.0624942779541,16.18598175048828,12.852411270141602,14.3755521774292,,17.171051025390625,21.494539260864258,11.924932479858398,19.066267013549805,15.99155044555664,,8.440112113952637,11.374359130859375,36.51041793823242,15.189658164978027,19.11001205444336,12.600971221923828,,22.396150588989258,34.927188873291016,17.260427474975586,,45.90766525268555,36.933753967285156,,38.779212951660156,42.9957275390625,48.52689743041992,25.287616729736328,26.70879554748535,,,,34.4139404296875,21.908939361572266,21.302001953125,45.02848815917969,,27.54030418395996,,,38.11130905151367,51.017364501953125,21.383445739746094,48.18000030517578
2011-08-10,89.20601654052734,31.586833953857422,18.69225311279297,21.491275787353516,14.774744987487793,18.172651290893555,15.036277770996094,12.246651649475098,13.632258415222168,,16.09119415283203,19.8063907623291,11.373369216918945,17.485498428344727,15.166741371154785,,8.06062126159668,10.885431289672852,34.713226318359375,15.122673988342285,18.106882095336914,12.067824363708496,,20.47726821899414,33.910823822021484,16.724628448486328,,42.936195373535156,35.86114501953125,,37.3682746887207,40.92401885986328,46.60576629638672,24.99366569519043,25.900005340576172,,,,31.152374267578125,21.291912078857422,18.966217041015625,45.2761344909668,,26.748624801635742,,,37.33413314819336,51.070980072021484,22.046222686767578,44.599998474121094
2011-08-11,93.20990753173828,32.77878952026367,19.763221740722656,22.368465423583984,15.43284797668457,18.37976837158203,15.772688865661621,12.97813606262207,14.090883255004883,,17.204381942749023,20.857620239257812,11.764350891113281,18.511615753173828,15.597612380981445,,8.362804412841797,11.544123649597168,36.24326705932617,15.265019416809082,19.286663055419922,12.65140151977539,,21.491533279418945,34.35447692871094,17.60487174987793,,45.932708740234375,37.59096145629883,,39.80479049682617,43.034969329833984,48.66621017456055,26.59404182434082,26.80283546447754,,,,32.957889556884766,22.195096969604492,20.67568588256836,47.13349533081055,,27.9508113861084,,,39.037940979003906,52.67951583862305,22.48226547241211,47.20800018310547
2011-08-12,93.83753204345703,32.480804443359375,20.161725997924805,22.32999038696289,15.946310043334961,18.68661117553711,16.178466796875,13.052424430847168,14.38345718383789,,17.40435218811035,21.556379318237305,11.827186584472656,19.05240249633789,15.856134414672852,,8.721213340759277,11.673147201538086,36.324214935302734,15.499482154846191,19.30559539794922,12.92518138885498,,22.231674194335938,34.84652328491211,17.439029693603516,,45.26496124267578,38.03736114501953,,40.05341720581055,42.97217559814453,48.5928840637207,26.37358283996582,26.972118377685547,,,,32.790435791015625,21.998361587524414,20.92620849609375,47.38114547729492,,28.3979549407959,,,39.18739700317383,53.510589599609375,22.412500381469727,47.02000045776367
