Year,Month,Day,Interbank Overnight
,,11,1.00
,,13,1.13
,,14,1.00
,,15,1.19
,,16,1.31
,,17,0.75
,,18,0.88
,,20,1.13
,,21,1.19
,,22,1.31
,,23,1.31
,,24,1.19
,,25,1.13
,,27,0.88
,,28,0.50
,,29,0.38
,,30,1.13
,Oct,01,1.13
,,02,1.00
,,04,1.00
,,05,1.06
,,06,1.13
,,07,1.13
,,08,0.75
,,09,0.75
,,11,0.88
,,12,0.75
,,13,0.63
,,14,1.13
,,15,1.19
,,16,1.00
,,18,1.13
,,19,1.13
,,20,1.13
,,21,1.06
,,22,1.25
,,23,1.13
,,25,0.88
,,26,1.25
,,27,1.13
,,28,1.00
,,29,0.94
,,30,0.88
,Nov,01,1.00
,,02,0.94
,,03,1.06
,,04,1.06
,,05,1.13
,,06,1.00
,,08,1.13
,,09,1.13
,,10,0.25
,,12,1.25
,,13,1.19
,,16,1.13
,,17,1.19
,,18,1.19
,,19,1.00
,,20,1.00
,,22,0.13
,,23,0.13
,,24,0.19
,,25,0.75
,,26,0.75
,,27,0.63
,,29,0.50
,,30,0.88
,Dec,01,0.88
,,02,0.88
,,03,0.94
,,04,0.88
,,06,1.00
,,07,0.75
,,08,0.31
,,09,1.06
,,10,1.13
,,11,1.00
,,13,1.00
,,14,1.13
,,15,1.00
,,16,1.06
,,17,1.00
,,18,1.00
,,20,1.00
,,21,1.00
,,22,0.75
,,23,1.19
,,24,1.13
,,27,1.19
,,28,1.25
,,29,1.25
,,30,1.13
,,31,1.63
2005,Jan,03,1.38
,,04,1.50
,,05,1.50
,,06,1.63
,,07,1.63
,,08,1.50
,,10,1.00
,,11,1.75
,,12,1.63
,,13,1.25
,,14,0.75
,,15,1.00
,,17,0.06
,,18,0.13
,,19,0.25
,,20,1.25
,,22,1.13
,,24,1.38
,,25,1.13
,,26,1.38
,,27,1.50
,,28,1.38
,,29,1.38
,,31,1.25
,Feb,01,1.38
,,02,1.00
,,03,1.38
,,04,1.63
,,05,1.50
,,07,1.50
,,08,1.50
,,11,1.50
,,12,1.50
,,14,1.44
,,15,1.13
,,16,1.63
,,17,1.75
,,18,1.69
,,19,1.75
,,21,1.75
,,22,1.75
,,23,1.75
,,24,1.81
,,25,1.88
,,26,1.63
,,28,1.25
,Mar,01,1.06
,,02,1.25
,,03,1.69
,,04,1.69
,,05,1.44
,,07,1.63
,,08,1.63
,,09,1.63
,,10,1.63
,,11,1.75
,,12,1.69
,,14,1.63
,,15,1.25
,,16,0.25
,,17,1.56
,,18,1.56
,,19,1.06
,,21,1.50
,,22,1.56
,,23,1.81
,,24,1.88
,,26,1.81
,,28,1.88
,,29,1.63
,,30,1.38
,,31,1.50
,Apr,01,1.75
,,02,1.63
,,04,1.75
,,05,1.63
,,06,1.63
,,07,1.69
,,08,1.63
,,09,1.63
,,11,1.38
,,12,1.44
,,13,1.63
,,14,1.88
,,15,1.88
,,16,1.63
,,18,1.75
,,19,2.06
,,20,2.00
,,21,1.75
,,22,2.00
,,23,2.00
,,25,1.63
,,26,2.00
,,27,1.50
,,28,1.94
,,29,1.88
,,30,1.88
,May,03,1.81
,,04,1.75
,,05,1.63
,,06,1.81
,,07,1.63
,,09,1.88
,,10,1.50
,,11,0.13
,,12,1.75
,,13,1.69
,,14,1.69
,,16,1.63
,,17,1.63
,,18,1.56
,,19,1.63
,,20,1.69
,,21,1.69
,,24,1.50
,,25,1.63
,,26,1.88
,,27,1.88
,,28,1.50
,,30,1.94
,,31,2.06
,Jun,01,1.88
,,02,2.00
,,03,2.00
,,04,2.00
,,06,2.06
,,07,1.50
,,08,1.75
,,09,1.94
,,10,1.63
,,11,1.75
,,13,1.63
,,14,1.69
,,15,1.69
,,16,1.75
,,17,1.69
,,18,1.75
,,20,1.63
,,21,1.63
,,22,1.50
,,23,1.75
,,24,1.81
,,25,1.75
,,27,1.75
,,28,1.75
,,29,1.88
,,30,1.69
,Jul,01,1.81
,,02,1.88
,,04,1.81
,,05,1.88
,,06,1.75
,,07,1.94
,,08,1.88
,,09,1.75
,,11,1.75
,,12,1.75
,,13,1.75
,,14,1.75
,,15,1.81
,,16,1.63
,,18,1.75
,,19,1.88
,,20,1.75
,,21,1.88
,,22,1.81
,,23,1.81
,,25,1.81
,,26,1.81
,,27,1.81
,,28,1.81
,,29,1.81
,,30,1.81
