,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,69.3199221996734,99.8727411555103,71.8,72.2939162496708,77.97,91.3507636337391,78.2720415523799,,72.25,72.6510786326127,81.9126896533383,68.079523351489,72.462321588981,75.8416504257206,72.5452788583038,72.4,74.6196957566053,69.4742088213307,,72.6257908532738,70.5260652462554,,71.0786401464081,34.8249606755881,64.6177605634916,34.0688956202487,66.6454110121168,43.4151806029423,46.1696072471062,32.3599712399485,7.2400282126671,61.7514187221588,59.1055520821237,68.1409080817572,45.1245122726884,69.3,43.5144395496818,,14.599048444274
1999-02,69.4043043326006,99.4655128531433,71.9,72.372925994206,78.21,91.6595050247327,78.3653336162088,,72.61,73.2075253813546,81.9063069292448,68.1197908777851,72.5954020694015,76.025446592902,72.7038477738411,72.5,74.0859354149987,69.8729130326439,,72.7649592058378,70.5489545953271,,71.3599881532951,34.4103778104176,64.8918460447796,34.4266583503202,66.5123862433179,43.4151806029423,46.7900797877882,32.772359362241,7.46976489757701,62.10307828208,59.1480869142903,67.8119670332547,45.7235102232108,69.3,44.2486539402839,,15.2019891450225
1999-03,69.6152596649186,99.567319928735,72.3,72.6889649723466,78.47,91.7553351447944,78.3653336162088,,73.24,73.5553045993183,82.2158690477774,68.4201629107984,72.728482549822,76.2092427600833,72.7633111171676,73.0,73.872431278356,70.0722651383005,,72.7649592058378,70.8504968896194,,71.003465958803,34.3274612373605,65.0004260623667,34.8053021735865,66.4458738589184,43.4151806029423,47.2247872704464,32.7098763124022,7.77259961859462,62.7360654899381,59.5240948306434,69.3139805190605,46.2642722618769,69.3,44.6647087616251,,15.6261246421687
1999-04,70.1215524624816,100.076355306694,72.6,73.0840136950224,78.69,91.9084027110434,78.738501871524,,73.4,73.7639721300964,82.3977766844408,68.6731946342874,72.9281032704528,76.7679831083147,73.0408067193578,73.2,74.0859354149987,70.4709693496138,,72.7649592058378,71.3013175474228,,70.6560699850882,34.4103778104176,65.1648773511395,35.0001923767382,66.3793614659429,43.5071619177791,47.6581849017812,32.4911856421187,8.15090568858057,63.2283888738278,59.74782804784,70.035020547408,46.7967148845634,69.4,45.0155000815794,,16.0995962188264
1999-05,70.1215524624816,100.076355306694,72.8,73.2420331840927,78.7,91.7022075677727,78.738501871524,,73.42,73.9030838172819,82.5541534247304,68.6710173755136,73.0611837508734,76.9591311221833,73.1696439632318,73.1,74.512943688284,70.7699975080987,,72.9041268121468,71.3859086200791,,69.9530085670137,34.7420441025693,65.0552431586243,35.1052938791522,66.7119233965163,43.4611712603607,47.9448789898795,32.3974610632084,8.39061028750517,63.6503803457332,59.8184358692366,69.998578802746,47.1045332758041,69.4,45.23576439876,,16.4570072548843
1999-06,70.1215524624816,99.7709340799186,72.7,73.400052673163,78.69,91.8097658510637,78.8317939353528,,73.14,74.1117513480601,82.675425182506,68.6857098293864,73.0611837508734,76.9150200420598,73.0308961621367,73.2,74.7264478249266,70.9693496137553,,72.7649592058378,71.4953794199872,,69.0421577638237,34.8249606755881,64.6725776597492,35.1718813652291,66.5788986277174,43.6911245474526,48.2598986527358,32.291239879313,8.66354126647872,63.7910441697016,59.9018041402832,70.0010398594762,47.3374769232295,69.4,45.3581334638603,,16.7713360934526
1999-07,70.3325077947995,99.3637057775516,72.4,73.5580721622334,78.48,91.8330216960996,79.2049621906681,,73.06,73.9726396608746,82.3148012712259,68.9833613915281,73.2608044715041,76.7826868016892,73.1399122915686,73.0,74.9399519615693,70.7699975080987,,72.7649592058378,71.479456394546,,68.6292647925274,35.1566269677399,64.4522550997908,35.5551654314275,66.5788986277174,43.7371152048709,48.5788478754726,31.9475831093519,8.99438107925188,63.580048433749,59.9434882758066,68.6387485295863,47.6702535624086,70.0,45.4968184043074,,17.244287771288
1999-08,70.5012720606539,99.6691270043268,72.6,73.7160916513036,78.61,92.2875130814128,79.1116701268393,,73.46,74.3551968006347,82.3148012712259,69.2772038534111,73.3273447117144,76.8341497285,73.0507172765789,72.7,75.2602081665332,71.1687017194119,,72.824602145861,71.3679952164578,,69.1756459164445,35.3224601138157,65.11111442981,35.7542318532183,66.4458738589184,43.5531525751975,48.8522796967606,31.6539127759401,9.37268714923783,63.9317079936701,60.0617351092298,68.5766843346306,47.8449612979777,70.1,45.7252406591614,,17.4443215094349
1999-09,70.8388005923626,99.9745482311021,72.8,73.9531208849091,78.74,92.4618316784706,78.9250859991816,,73.8,74.7029760185984,82.8988205257769,69.4105216273986,73.460425192135,77.0914643625539,73.2092861921162,73.4,75.4737123031759,71.3680538250686,,72.824602145861,71.3520721910166,,70.7784760465637,35.5712098329487,65.2755657185827,35.8651336592975,66.3793614659429,43.7371152048709,49.3243179953214,31.4352221056565,9.93373830949302,64.8460228494652,60.1978465721631,69.9032237642424,48.1028631933415,70.0,45.8802414749551,,17.7024974677745
1999-10,70.9653737917533,100.178162382286,72.8,74.0321306294443,78.79,92.4609295120683,78.8317939353528,,73.86,74.8420877057839,82.9945613871787,69.3844026078136,73.726586152976,77.2532049896735,73.308391764327,73.7,76.0074726447825,71.4677298778969,,73.1228198309968,71.5481244417611,,70.7782639727233,36.2345424172139,65.768919584901,36.2920360090585,66.5123862433179,43.8290965197077,49.6367179496215,31.4539670214386,10.5621915549904,65.5493419693076,60.4113714296396,70.0968572752471,48.3857233366437,70.1,46.0352422907489,,17.9450216830831
1999-11,71.0075648582169,99.567319928735,72.9,73.9531208849091,78.82,92.3727176860701,79.0183780630105,,73.95,74.9811993929694,82.7679746818611,69.4959536745727,73.8596666333966,77.2458531429862,73.4669606798642,74.0,75.9007205764612,71.5674059307252,,73.1824627710199,71.965108670502,,70.0799146803771,36.317458990271,65.6582312174578,36.6368060589199,66.3793614659429,43.9210778345444,50.0781384306543,31.48520855051,11.00600105993,66.1119972651814,60.5126043301962,70.2760370932684,48.5604310722128,70.3,46.2555066079295,,18.165745449785
1999-12,71.0075648582169,99.2618987019598,73.1,74.0321306294443,79.17,92.6845665391159,79.2982542544969,,73.7,75.0507552365621,82.956265042618,69.8093855849103,73.9262068736068,77.5472788571637,73.6949034959491,74.1,75.9007205764612,72.4644904061799,,73.6794910024879,72.1442427067153,,70.011768521202,35.7370429789863,65.5485970249427,36.8565215617588,66.5788986277174,44.0590498067995,50.5798121552965,32.0350593774653,11.6605607468944,66.6746525610553,60.6725352991428,70.7250528954259,48.9514436232482,70.4,46.5002447381302,,18.3946338424523
2000-01,71.2185201905348,99.160091626368,72.6,73.874111140374,79.17,92.7990414314908,79.4848383821546,,73.55,74.946421471173,82.2796962887119,70.0390180246224,74.0592873540274,77.5619825505382,73.8336512970442,74.5,75.4737123031759,72.2651383005233,,73.460798729893,72.0029258559248,,70.9364823306464,35.7370429789863,65.8395493050791,37.0850535261689,66.6454110121168,44.5649470384016,51.2589709647326,32.4536958105546,12.226833195443,67.8702950647873,60.7788723795594,69.9334185253722,49.6669133974833,71.6,47.1039321259586,,18.8232288109814
2000-02,71.6404308551707,98.8546703995928,72.8,74.348169607585,79.27,93.1477788663176,79.5781304459834,,74.0,75.4038767395626,82.6690424584126,70.1380538962824,74.3254483148684,78.1396222899984,74.1111468992344,74.8,75.2602081665332,72.8631946174932,,73.957826961361,71.8387196560626,,71.8595080041391,35.6541264059675,66.040896716333,37.1333120526637,66.1798243127445,44.4269750661465,51.7136537066655,32.4786890288292,12.679661289253,68.4329503606612,61.1174496436059,69.785170238947,50.259067357513,71.8,48.1889378365149,,19.0189903906156
2000-03,72.2311057856609,99.0582845507763,73.0,74.9012378193311,79.64,93.116002560816,79.5781304459834,,74.66,75.9375745526839,83.0647713522067,70.4161160099694,74.5250690354992,78.6064818054526,74.3985530586457,74.9,74.9399519615693,73.3615748816347,,74.1765199802109,71.9471952668807,,70.8614596243559,35.9857926981192,66.3729618186626,37.2149803282701,65.9137747665706,44.8868816403302,52.0003477947638,32.3287297108771,13.0498980955128,69.0659375685193,61.562363988069,71.4932469929151,50.7031828275352,71.8,49.0128895415239,,19.1407119291156
2000-04,72.2732968521245,99.2618987019598,73.3,74.6642085857256,79.64,93.1973980184416,79.5781304459834,,74.78,76.0138170974155,82.991370025132,70.7088705775292,74.5916092757095,78.7963907608916,74.5373008597408,75.1,75.3669602348546,73.8599551457762,,74.1168762939327,72.7861396698128,,70.4441018293844,36.317458990271,66.1062555618708,37.3713565150848,65.8472623821711,45.484760186769,52.2962108539455,32.5099305579007,13.3532074791025,69.3472652164563,61.8584064199488,71.8385624967852,51.1472982975574,71.7,49.5023658019253,,19.3110642652847
2000-05,72.3576789850517,99.3637057775516,73.5,74.9802475638662,79.8,93.1515880133494,79.4848383821546,,75.02,76.3187872763419,83.3870989189261,70.8264080033207,74.8577702365506,79.0337769551903,74.7553331186046,75.2,75.9007205764612,74.4580114627461,,74.1765199802109,73.1961575749232,,70.0229612289352,36.4832921363468,65.7731362846132,37.3750687094305,65.7142376047961,45.6687228164425,52.4917064269389,32.7848559755304,13.6493969241103,69.8395886003459,61.9894137030221,72.047627615556,51.3693560325685,71.8,49.7552618697993,,19.6490078899272
2000-06,72.737398583224,99.160091626368,73.6,75.4543060310772,80.0,93.498320633949,79.8580066374699,,74.94,76.5475149105368,83.3711421086925,71.0408040419983,75.0573909571814,79.2236859106293,75.0328287207948,75.6,76.2209767814252,74.9563917268876,,74.7530728779647,73.5623871600704,,69.3873681792238,36.6491252824227,66.1062555618708,37.4611452158225,65.7807499891956,45.9446667609528,52.8026327940675,32.9473118984679,13.7419561256753,70.3319119842356,62.1314800424587,71.7703876207336,51.6654330125833,72.3,49.747103932126,,20.1500575911203
