,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
1999-01-01,18.1044378542979,17.3108900923912,33.7170904563521,19.7560910273366,45.3891466018177,19.2106707982503,31.6223512731369,24.5184972995938,37.7734176641817,38.1758420989158,36.4229271528209,,,41.0038041968277,14.7723970530418,36.4989441835545,43.8128230398056,35.0568472983419,38.800827553885,29.4091917378592,,47.1087352314622,37.0903404383349,38.7993576819437,,14.8040380607811,14.845937547024,,,25.3033512796678,11.9628652649859,19.5492278842697,16.3291661347187,18.5840060645556,6.20006062052198,,,,,38.7042829822247,18.7140038461769,41.7927585050364,17.8181315090752,43.9370207430329,34.8137558073008,,22.1201943516985,16.7436856974566,20.2861006003545
2000-01-01,17.9265371411288,17.1095576406981,34.1554185060433,18.7745182688509,44.1329000361832,18.516531788552,31.3132203936295,24.0475111755467,36.6735470910849,36.7934107533369,34.5346699604801,,,39.4798153124305,15.7167317505512,33.9067149411472,42.6348525059249,31.9618827246391,40.7587486020377,27.6892879653051,,46.2637884393769,37.2528277484671,37.9073600937742,,15.4104025950524,15.3909205836893,,,24.4358091522258,12.6800596655801,13.5039212437522,,16.5121871150754,,,,,15.7043454809422,38.3163011050351,20.1386805049182,42.8468439986057,18.4212887077482,41.3571337007691,33.5883876596674,,16.9331428734368,16.8328883767368,21.1628915021522
2001-01-01,19.5097628135138,16.2333992095233,34.4873018353774,18.7110049059225,44.374324535171,17.5202183407864,30.7393649829232,26.1969228854032,37.204621057896,36.6254755765814,33.2391538867394,,,40.0066925494319,18.1694321928128,33.2563542329286,43.0371850255112,32.6023738948164,42.9493649549175,28.9800895859939,31.5512928087513,46.6155822276541,38.0893570774869,37.8744299206645,,15.5456255204777,16.3307638680758,,,24.3412920517984,,15.7434569460324,,18.7453892602793,,,43.5046728971963,,16.3761597643013,39.8463050254111,20.0571230559933,42.4340438802785,18.2439858212758,40.939494892426,36.6830856654541,,,16.9923529034125,22.7585313017298
2002-01-01,20.0840096450444,16.1070602104528,35.8182649819767,17.963084125068,45.3515498205411,19.4819504580923,31.1779156733936,26.3711684924223,37.3855851793023,36.6384893476224,33.6279834478682,,,39.4722078854655,16.1456287066659,34.319060382797,41.4436065241409,37.5461993613124,45.811457873779,29.4745512750367,30.7257906066681,45.9729061942825,38.5425576504857,38.130331264954,,16.0529482128082,15.4395316010512,,,23.6803783151852,,20.1914554917214,15.7134455872859,17.6745047793264,,,41.4150129421915,,16.2398182535247,39.7092391906566,20.0926250802076,41.9978460396771,17.6134329055327,42.9174917612905,37.0092033317205,27.2483504882555,,19.6771706443151,22.5352476801625
2003-01-01,20.6606326076555,15.7293776764486,36.9706471907436,18.0373335713637,45.6356507095874,18.3415985235915,31.5756227476408,25.7176458276753,38.3615764123165,37.0814365888419,33.7047460913443,,,39.6241983541613,15.9371823893899,34.8957818502923,42.5564419939957,37.287473947029,41.3713228903961,29.7254665223086,31.2173416284896,46.0361284875525,39.8208098594833,38.4967226546572,,15.5775937223536,17.3011263905227,,,24.7704671599849,,14.8543666875635,16.2579278221086,17.6261853193527,,,37.7859706179208,,16.3039879253457,40.6280100855572,19.3366626993026,42.0223251231969,17.7708378805601,42.6711254896822,38.2850850660822,27.3324550898204,27.622281719396,19.8373029880995,23.046306391951
2004-01-01,20.4485355966129,15.0737560136373,37.4259116531411,17.2659172104417,45.0159798687691,18.1701679230064,30.3906705797076,25.619485421829,37.5836504271793,36.8121318883923,32.7152484953328,,,38.8365090589602,14.3921042209913,34.5941621839529,40.8989362902799,35.2550691423353,40.0778912268835,29.7186782043724,30.4364592162216,48.6070087732423,40.4098446020985,37.7906448300932,,15.1334829998657,17.1688367256719,,,25.6020497773113,,15.4915595237061,16.8539365479843,18.8869059673282,,,35.2749090867572,,15.2483585913628,37.9937219413755,18.2083109080648,43.4528260324257,17.3833715752298,41.6103479388665,34.6353135726179,26.8903770863383,,16.8763416365527,21.5738426684628
2005-01-01,20.7451029772761,15.0518407348066,37.8601543393565,17.8239879344923,45.1413507521639,17.8222313074719,30.4945571185722,25.5686400858015,36.8949486551591,34.8998439246717,33.0994154041933,,,39.1414155784883,12.5938426968405,34.6845834826064,43.5309136698259,33.1442532111323,39.3940880231895,30.4253603783737,30.9856975395398,45.9123787174206,41.3999833140657,37.9125121269947,,15.1739835904273,17.8194675469514,,,25.6017227017192,,15.3149810274229,,17.6866981371579,,,28.5124527406202,,16.5075781461687,37.0614317587554,17.2109749859784,42.9431876899722,18.0201336794962,41.787298993944,33.478623849944,27.3888579387187,,,19.9480998631588
2006-01-01,20.5951351231726,14.8453333163917,38.11643786787,17.0276912468077,44.7043320594475,16.8917221176105,29.1920187163533,24.9160079447074,37.8989848532023,33.2287477094202,31.9787690427041,,,39.7601113115665,13.0568922267559,34.2793686414455,40.5934156846885,32.0859501517167,38.3637405202589,30.6619440672932,31.3853166205437,45.188096157763,40.1145409977161,37.3387693539218,,15.1894795636051,18.5519015236155,,,25.8417852811827,,15.0648962132471,,17.7190817478083,,,34.5543697721373,,14.5746291197224,36.7936781335121,15.8867269551126,42.4195973839682,17.0776767262438,42.8299602606799,32.6028263201167,32.7636716852841,,,19.500541407903
2007-01-01,20.8646452748144,14.0037943063894,38.4024500062104,16.9627803202211,44.1951595788519,16.3543043101587,28.0020803744674,24.463559144488,37.2703780867936,36.0667508169168,31.1815456416601,,,39.2095859911305,12.1489884766129,32.6403737598358,40.2935344941736,32.002513374014,37.0092254319332,31.9281112527488,31.3103662554306,43.9779149065683,39.2631659788723,36.5901460096058,,15.2578600235882,18.0211172253515,,,26.0805418540207,,16.5511413907824,,18.1188211358944,,,,,13.8880937726132,35.14342640218,16.0414047722644,44.0495839110452,18.1434002111455,42.375142656536,32.3566866768596,29.3352309344791,,,23.0065326912153
2008-01-01,22.7876261253222,15.2644121011595,41.2123754575206,17.0833534495245,44.6826820184904,15.8397851197895,28.2725241410726,24.332380954804,37.6791955475759,36.760980329934,31.5468108607422,,,40.6013460101408,14.5049163763371,33.3703961084086,42.1013518104548,30.6744313317201,37.5884330147362,37.0695232892569,32.6367696905061,44.5742438153401,40.3029459380645,37.369424441478,,17.2276704329522,18.317231472605,,,27.1771183464084,,17.0589483038353,18.4485650887534,19.567987381224,,,,30.3401672410523,13.581599410109,35.9419277503926,18.4111324189756,47.2109656916541,17.8236305892688,44.2888579881118,32.0802600139505,30.3182043551089,24.5684126038182,,21.5321667594705
2009-01-01,25.5765201833291,18.2117006884089,43.7171125124204,18.85417104193,48.0210057518454,16.918582516051,31.0460680451235,26.4703340545692,41.6788564149017,41.9424059218607,33.7671238821645,,,44.030204610425,14.303988923297,38.2234644863464,44.3987233629884,35.4125814850277,38.1314378737067,44.0437590877705,34.1350285887796,47.8483531787954,43.6779216989797,40.686274092957,,16.8518927116795,19.3022879479722,,,29.1019033706759,,18.411805894126,15.3672983977382,21.6713098871415,,,,35.5678145437389,14.509485683653,36.8163116561287,21.3114681707184,51.2654639796872,18.4835822470063,44.9999276039283,35.0403609217261,30.0771253118403,24.7300721329255,,32.1089747155738
2010-01-01,26.0546053822546,17.2217468141394,44.040459419951,19.0847071449408,49.3240362674279,16.7197445429207,31.3667134612385,26.7112315253559,41.8689679233151,42.2686056002143,33.0984522248132,,,42.7521136309445,12.4128043266242,38.3830384335319,43.579571630894,34.7251099755849,36.7027314184031,62.3597357699285,34.2327900778,46.4268097130133,43.9559003304585,41.1557313118606,,16.5051359514265,17.6271254923594,30.7014530840445,24.434627967945,29.5775128260769,,17.4114153723881,14.0120971721833,18.2319253890148,,,,32.8762824550817,13.7936889438216,36.9158402864537,20.2081834494716,50.9570526640985,17.8223398948007,43.5272422036192,34.9873399334313,28.8602519476214,25.4043842590891,,27.3772390022191
2011-01-01,25.3457058278502,18.5956788727445,42.6475969693747,17.8502680006291,47.5857458016517,16.6376791837765,28.8749832934852,25.9991694885022,41.430655991537,42.3863047125002,32.2785317758902,,,41.8898905465564,12.7726522542327,37.8832109415247,44.8411007538412,34.1417879241789,36.2193315803174,44.8370738311113,40.0870367327778,45.5076870354388,44.2709262542682,39.4599636731576,,14.4898394030493,18.1357749652036,31.3064734506666,23.0117316736684,31.0619734464171,,19.41745835874,15.0246573999141,19.7347795900774,4.1254998473781,,,30.3387665314319,13.5211906618935,35.0611885242472,19.4945095729622,54.8290674605195,17.6278849212839,44.981831721564,34.9337804994827,29.1899277952009,24.2247402762094,,23.3499683933859
2012-01-01,23.91190131866,18.1117047475127,43.3368685433048,17.5175199279774,48.0719239335045,16.5219261840556,28.4938677234993,26.130534017342,41.5700051763798,43.523694932766,32.8706847772132,38.4999961206629,,43.6129655352602,12.3839623831082,38.8973174092331,45.9131579567486,33.7289756030843,36.3623484756134,40.2140608178264,35.0312383614803,46.1450485455905,44.1980204481795,39.6216667667445,,16.1667124010779,24.6334415518133,30.7940989613241,25.641486420426,30.3651797341743,,18.6216196174385,15.6134649232689,20.9798770041143,4.1377317382164,,,29.5802922093597,13.5454813748711,35.2619983766747,19.9248545225746,56.1735018242533,17.9177884982323,44.5997295340966,36.608882754141,28.6894966262614,25.0329863002189,,24.1958551261758
